,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ds,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00
Atlanta Hawks,25952.718031071545,119420.45807422286,29146.077168188902,0.0,241327.2555000228,523173.3081548301,440973.97479114606,0.0,53995.100242848224,116788.34059187383,130840.86368326761,207274.96590117505,83336.76887866158,229333.1888411285
Boston Celtics,328843.7681462071,319563.3617782808,100329.49626713227,55809.41301643428,0.0,510855.4513931839,954591.7805128957,257258.4301222856,0.0,2117.5883996559132,14838.805218047695,127916.62218308012,571446.4492850109,539359.216414619
Charlotte Hornets,109378.57994178863,75570.02507863396,0.0,72241.63719514363,0.0,438407.6471396821,398185.1483531662,0.0,0.0,0.0,3739.3755301378187,86307.44045809707,135172.60135683534,50239.022805861896
Chicago Bulls,62375.65543354179,251549.43318475646,0.0,217732.24165979068,0.0,475438.6702655859,335485.74900749116,0.0,0.0,0.0,1677.9028751630394,99276.52143475327,0.0,381193.0757922104
Cleveland Cavaliers,79539.10428932501,81225.52327660448,117775.39413441095,131568.32812624975,0.0,395464.0534084245,311031.9073810619,4962.688639348431,14786.194639156805,36104.356201283386,38718.420305143314,95315.0597954085,130274.67798363973,118790.44330170986
Dallas Mavericks,39652.60618558534,58268.325967688084,102784.6838003869,0.0,0.0,340517.64255517605,406660.69400897494,0.0,0.0,0.0,5014.497076392312,61818.128517529934,25346.056708500757,55198.741162425606
Denver Nuggets,80402.95180524062,0.0,58209.276156610285,0.0,65200.94608977185,205809.7676057908,122214.9180598443,0.0,0.0,0.0,1683.675320268836,32508.59537656721,123307.52315118659,0.0
Detroit Pistons,163598.25860360643,9039.937397476835,0.0,0.0,58040.91759704053,311977.28298841947,271990.8242362368,0.0,0.0,0.0,5259.974921115492,58451.36973152299,270724.31026475085,0.0
Golden State Warriors,162892.98747893027,314770.55684132926,181309.3300087568,97439.33785708233,0.0,571528.6252865943,728271.4893825754,0.0,0.0,0.0,0.0,91985.13930244291,88327.78431394718,357044.71887852706
Houston Rockets,66249.59343977443,24472.866663266046,0.0,13698.939583440217,12147.883078855091,219034.96797030838,185693.36956724,0.0,0.0,0.0,4055.731732494467,38943.68659579077,93066.31701829443,600.0061587108794
Indiana Pacers,31573.679272587702,29207.90013998971,0.0,0.0,17085.893091538812,145040.2614432284,127138.84923822184,0.0,0.0,0.0,1360.4652224426163,40438.527125167464,37612.923824193334,27838.896667878118
Memphis Grizzlies,36184.457070938624,23773.724026899923,56803.62621541434,0.0,3652.6842908762774,206773.9831614399,170460.5989356134,0.0,0.0,0.0,1630.759104824676,47729.560947521095,40956.4092008469,8636.290617589066
Miami Heat,124189.35170460878,146039.11567656952,0.0,0.0,75461.76521754541,314264.0930584102,400994.1345058883,0.0,0.0,0.0,319.56811803837445,45777.11233780194,181296.08471777785,224721.47539170194
Milwaukee Bucks,32652.620069223824,94402.77215929494,0.0,0.0,22202.076816406367,331553.7819466443,303539.40279990097,0.0,0.0,35106.001628988946,33680.46777383434,67759.20765685254,50571.13995570411,157411.80311399608
Minnesota Timberwolves,45643.39425730193,82979.97322385121,0.0,0.0,10126.7358342746,232446.57218116606,100568.26003482386,0.0,0.0,0.0,0.0,25281.21335046245,42006.95793363138,117318.3222147733
New Orleans Pelicans,77987.04125409658,0.0,0.0,0.0,18976.036133918285,250512.77309402867,158842.75300726428,0.0,0.0,0.0,0.0,43172.46652516914,123136.01229932677,0.0
No Team,225996.71977027156,228924.58486141913,78333.14764665798,0.0,95756.22712756586,990099.8366838488,911734.803747949,0.0,0.0,0.0,1369.516959491778,182490.4762320336,244544.44266637685,230992.8125227711
Oklahoma City Thunder,39316.91944365133,0.0,192.91093137403914,6926.78563439388,4890.148920964055,111937.89384853988,98242.36656870677,0.0,0.0,3194.4804606643756,7514.904868007488,22409.211638707427,65274.26643774081,0.0
Orlando Magic,62531.90139997274,2364.480254773658,36192.29928409307,6179.621806137569,2046.1211747635607,193159.7379227514,183996.94976938155,0.0,0.0,0.0,2809.7522809322872,37759.106016226564,86460.23379843685,0.0
Philadelphia 76ers,89901.09340857575,47585.31838330668,0.0,34504.14851774915,70705.60711151006,446079.05915289914,473307.2366356416,0.0,0.0,0.0,2033.308263946028,83801.39138045386,84029.61548444546,0.0
Phoenix Suns,104224.26143393596,99112.78627507114,0.0,0.0,54047.271789798324,507039.12321764097,455162.0916214738,0.0,0.0,41194.40074045922,42173.97435392515,107684.77413072683,173710.08043864608,130971.64899075415
Portland Trail Blazers,51992.40702724288,32692.147627581136,0.0,8667.41707568525,17104.403415184923,170571.5088680543,133887.58953370684,0.0,0.0,0.0,1018.2581369621421,37818.86558345467,58703.0939411561,21110.58423050471
Sacramento Kings,106609.3693955692,58759.32106656885,57469.81841456161,5979.387165935455,32447.70474096891,213957.0118818552,247302.65628287767,7977.634269703078,0.0,0.0,6292.220722915452,60146.19696977703,167112.6020365648,55707.46374902585
San Antonio Spurs,0.0,0.0,119628.69763707179,0.0,0.0,212685.31796159566,180269.40525126152,0.0,0.0,0.0,0.0,39388.3628709991,0.0,0.0
Unsure,256320.19717122155,141630.86845678388,107475.99751624637,22639.110769022125,11055.30382066009,1197772.6010018217,1092844.9301739156,0.0,0.0,0.0,0.0,228982.38829816304,266280.89943255804,1528.6148723453516
Utah Jazz,0.0,0.0,0.0,0.0,10082.270830449772,122500.69653045235,30752.205429498106,0.0,0.0,0.0,0.0,2384.671292818297,0.0,0.0
Washington Wizards,134409.31307400446,37544.33746748651,0.0,0.0,124755.2798715104,301004.16145794676,252086.59897582524,0.0,0.0,0.0,1552.660842582587,70742.77729016892,199065.29949264662,0.0
