,Team,Month,playoff games,month_of_season
0,Phoenix Suns,2021-05-01,4,8
1,Memphis Grizzlies,2021-05-01,4,8
2,Golden State Warriors,2021-05-01,0,8
3,Miami Heat,2021-05-01,4,8
4,Dallas Mavericks,2021-05-01,4,8
5,Boston Celtics,2021-05-01,4,8
6,Milwaukee Bucks,2021-05-01,4,8
7,Philadelphia 76ers,2021-05-01,4,8
8,Utah Jazz,2021-05-01,4,8
9,Denver Nuggets,2021-05-01,4,8
10,Toronto Raptors,2021-05-01,0,8
11,Chicago Bulls,2021-05-01,0,8
12,Minnesota Timberwolves,2021-05-01,0,8
13,Brooklyn Nets,2021-05-01,4,8
14,Cleveland Cavaliers,2021-05-01,0,8
15,Atlanta Hawks,2021-05-01,4,8
16,Charlotte Hornets,2021-05-01,0,8
17,Los Angeles Clippers,2021-05-01,4,8
18,New York Knicks,2021-05-01,4,8
19,New Orleans Pelicans,2021-05-01,0,8
20,Washington Wizards,2021-05-01,4,8
21,San Antonio Spurs,2021-05-01,0,8
22,Los Angeles Lakers,2021-05-01,4,8
23,Sacramento Kings,2021-05-01,0,8
24,Portland Trail Blazers,2021-05-01,4,8
25,Indiana Pacers,2021-05-01,0,8
26,Oklahoma City Thunder,2021-05-01,0,8
27,Detroit Pistons,2021-05-01,0,8
28,Orlando Magic,2021-05-01,0,8
29,Houston Rockets,2021-05-01,0,8
30,Phoenix Suns,2021-06-01,12,9
31,Memphis Grizzlies,2021-06-01,1,9
32,Golden State Warriors,2021-06-01,0,9
33,Miami Heat,2021-06-01,0,9
34,Dallas Mavericks,2021-06-01,3,9
35,Boston Celtics,2021-06-01,1,9
36,Milwaukee Bucks,2021-06-01,11,9
37,Philadelphia 76ers,2021-06-01,8,9
38,Utah Jazz,2021-06-01,7,9
39,Denver Nuggets,2021-06-01,6,9
40,Toronto Raptors,2021-06-01,0,9
41,Chicago Bulls,2021-06-01,0,9
42,Minnesota Timberwolves,2021-06-01,0,9
43,Brooklyn Nets,2021-06-01,8,9
44,Cleveland Cavaliers,2021-06-01,0,9
45,Atlanta Hawks,2021-06-01,12,9
46,Charlotte Hornets,2021-06-01,0,9
47,Los Angeles Clippers,2021-06-01,15,9
48,New York Knicks,2021-06-01,1,9
49,New Orleans Pelicans,2021-06-01,0,9
50,Washington Wizards,2021-06-01,1,9
51,San Antonio Spurs,2021-06-01,0,9
52,Los Angeles Lakers,2021-06-01,2,9
53,Sacramento Kings,2021-06-01,0,9
54,Portland Trail Blazers,2021-06-01,2,9
55,Indiana Pacers,2021-06-01,0,9
56,Oklahoma City Thunder,2021-06-01,0,9
57,Detroit Pistons,2021-06-01,0,9
58,Orlando Magic,2021-06-01,0,9
59,Houston Rockets,2021-06-01,0,9
60,Phoenix Suns,2021-07-01,6,0
61,Memphis Grizzlies,2021-07-01,0,0
62,Golden State Warriors,2021-07-01,0,0
63,Miami Heat,2021-07-01,0,0
64,Dallas Mavericks,2021-07-01,0,0
65,Boston Celtics,2021-07-01,0,0
66,Milwaukee Bucks,2021-07-01,8,0
67,Philadelphia 76ers,2021-07-01,0,0
68,Utah Jazz,2021-07-01,0,0
69,Denver Nuggets,2021-07-01,0,0
70,Toronto Raptors,2021-07-01,0,0
71,Chicago Bulls,2021-07-01,0,0
72,Minnesota Timberwolves,2021-07-01,0,0
73,Brooklyn Nets,2021-07-01,0,0
74,Cleveland Cavaliers,2021-07-01,0,0
75,Atlanta Hawks,2021-07-01,2,0
76,Charlotte Hornets,2021-07-01,0,0
77,Los Angeles Clippers,2021-07-01,0,0
78,New York Knicks,2021-07-01,0,0
79,New Orleans Pelicans,2021-07-01,0,0
80,Washington Wizards,2021-07-01,0,0
81,San Antonio Spurs,2021-07-01,0,0
82,Los Angeles Lakers,2021-07-01,0,0
83,Sacramento Kings,2021-07-01,0,0
84,Portland Trail Blazers,2021-07-01,0,0
85,Indiana Pacers,2021-07-01,0,0
86,Oklahoma City Thunder,2021-07-01,0,0
87,Detroit Pistons,2021-07-01,0,0
88,Orlando Magic,2021-07-01,0,0
89,Houston Rockets,2021-07-01,0,0
90,Phoenix Suns,2022-04-01,6,7
91,Memphis Grizzlies,2022-04-01,6,7
92,Golden State Warriors,2022-04-01,5,7
93,Miami Heat,2022-04-01,5,7
94,Dallas Mavericks,2022-04-01,6,7
95,Boston Celtics,2022-04-01,4,7
96,Milwaukee Bucks,2022-04-01,5,7
97,Philadelphia 76ers,2022-04-01,6,7
98,Utah Jazz,2022-04-01,6,7
99,Denver Nuggets,2022-04-01,5,7
100,Toronto Raptors,2022-04-01,6,7
101,Chicago Bulls,2022-04-01,5,7
102,Minnesota Timberwolves,2022-04-01,6,7
103,Brooklyn Nets,2022-04-01,4,7
104,Cleveland Cavaliers,2022-04-01,0,7
105,Atlanta Hawks,2022-04-01,5,7
106,Charlotte Hornets,2022-04-01,0,7
107,Los Angeles Clippers,2022-04-01,0,7
108,New York Knicks,2022-04-01,0,7
109,New Orleans Pelicans,2022-04-01,6,7
110,Washington Wizards,2022-04-01,0,7
111,San Antonio Spurs,2022-04-01,0,7
112,Los Angeles Lakers,2022-04-01,0,7
113,Sacramento Kings,2022-04-01,0,7
114,Portland Trail Blazers,2022-04-01,0,7
115,Indiana Pacers,2022-04-01,0,7
116,Oklahoma City Thunder,2022-04-01,0,7
117,Detroit Pistons,2022-04-01,0,7
118,Orlando Magic,2022-04-01,0,7
119,Houston Rockets,2022-04-01,0,7
120,Phoenix Suns,2022-05-01,7,8
121,Memphis Grizzlies,2022-05-01,6,8
122,Golden State Warriors,2022-05-01,11,8
123,Miami Heat,2022-05-01,13,8
124,Dallas Mavericks,2022-05-01,12,8
125,Boston Celtics,2022-05-01,14,8
126,Milwaukee Bucks,2022-05-01,7,8
127,Philadelphia 76ers,2022-05-01,6,8
128,Utah Jazz,2022-05-01,0,8
129,Denver Nuggets,2022-05-01,0,8
130,Toronto Raptors,2022-05-01,0,8
131,Chicago Bulls,2022-05-01,0,8
132,Minnesota Timberwolves,2022-05-01,0,8
133,Brooklyn Nets,2022-05-01,0,8
134,Cleveland Cavaliers,2022-05-01,0,8
135,Atlanta Hawks,2022-05-01,0,8
136,Charlotte Hornets,2022-05-01,0,8
137,Los Angeles Clippers,2022-05-01,0,8
138,New York Knicks,2022-05-01,0,8
139,New Orleans Pelicans,2022-05-01,0,8
140,Washington Wizards,2022-05-01,0,8
141,San Antonio Spurs,2022-05-01,0,8
142,Los Angeles Lakers,2022-05-01,0,8
143,Sacramento Kings,2022-05-01,0,8
144,Portland Trail Blazers,2022-05-01,0,8
145,Indiana Pacers,2022-05-01,0,8
146,Oklahoma City Thunder,2022-05-01,0,8
147,Detroit Pistons,2022-05-01,0,8
148,Orlando Magic,2022-05-01,0,8
149,Houston Rockets,2022-05-01,0,8
150,Phoenix Suns,2022-06-01,0,9
151,Memphis Grizzlies,2022-06-01,0,9
152,Golden State Warriors,2022-06-01,6,9
153,Miami Heat,2022-06-01,0,9
154,Dallas Mavericks,2022-06-01,0,9
155,Boston Celtics,2022-06-01,6,9
156,Milwaukee Bucks,2022-06-01,0,9
157,Philadelphia 76ers,2022-06-01,0,9
158,Utah Jazz,2022-06-01,0,9
159,Denver Nuggets,2022-06-01,0,9
160,Toronto Raptors,2022-06-01,0,9
161,Chicago Bulls,2022-06-01,0,9
162,Minnesota Timberwolves,2022-06-01,0,9
163,Brooklyn Nets,2022-06-01,0,9
164,Cleveland Cavaliers,2022-06-01,0,9
165,Atlanta Hawks,2022-06-01,0,9
166,Charlotte Hornets,2022-06-01,0,9
167,Los Angeles Clippers,2022-06-01,0,9
168,New York Knicks,2022-06-01,0,9
169,New Orleans Pelicans,2022-06-01,0,9
170,Washington Wizards,2022-06-01,0,9
171,San Antonio Spurs,2022-06-01,0,9
172,Los Angeles Lakers,2022-06-01,0,9
173,Sacramento Kings,2022-06-01,0,9
174,Portland Trail Blazers,2022-06-01,0,9
175,Indiana Pacers,2022-06-01,0,9
176,Oklahoma City Thunder,2022-06-01,0,9
177,Detroit Pistons,2022-06-01,0,9
178,Orlando Magic,2022-06-01,0,9
179,Houston Rockets,2022-06-01,0,9
